City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Atar,MR,20.5169,-13.0499,84.67,24,100,9.73,overcast clouds
79,Salalah,OM,17.0151,54.0924,80.49,82,100,1.97,overcast clouds
80,Saldanha,ZA,-33.0117,17.9442,58.32,85,70,8.81,broken clouds
81,Korla,CN,41.7597,86.1469,75.63,21,0,16.31,clear sky
82,Sri Aman,MY,1.2376,111.4621,83.82,73,43,2.28,scattered clouds
83,Ambon,ID,-3.6954,128.1814,86.14,66,40,2.3,scattered clouds
84,Biltine,TD,14.5333,20.9167,81.84,49,86,6.02,overcast clouds
85,Samana,DO,19.2056,-69.3369,78.22,85,100,7.85,overcast clouds
86,Avarua,CK,-21.2078,-159.775,78.85,89,100,17.27,overcast clouds
87,Svirstroy,RU,60.7999,33.7248,47.07,98,71,2.93,broken clouds
88,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,77,0,13.8,clear sky
89,Hobart,AU,-42.8794,147.3294,55.22,71,40,5.75,scattered clouds
90,Haines Junction,CA,60.7522,-137.5108,71.76,29,77,6.26,broken clouds
91,Barrow,US,71.2906,-156.7887,30.22,80,0,28.77,clear sky
92,Yerbogachen,RU,61.2767,108.0108,58.48,46,100,5.48,overcast clouds
93,Ciucurova,RO,44.9333,28.4833,57.2,48,56,2.33,broken clouds
94,Bilibino,RU,68.0546,166.4372,48.22,43,88,9.31,overcast clouds
95,Longyearbyen,SJ,78.2186,15.6401,40.84,81,75,5.75,broken clouds
96,Salto Del Guaira,PY,-24.0625,-54.3069,61.59,88,15,8.01,few clouds
97,Dzilam Gonzalez,MX,21.2833,-88.9333,75.79,91,9,3.58,clear sky
98,Egvekinot,RU,66.3167,-179.1667,38.88,60,86,2.75,overcast clouds
99,Chapais,CA,49.7834,-74.8492,49.78,95,100,10.09,overcast clouds
100,Pisco,PE,-13.7,-76.2167,64.45,82,91,16.11,overcast clouds
101,New Norfolk,AU,-42.7826,147.0587,55.89,80,71,3.0,broken clouds
102,Grindavik,IS,63.8424,-22.4338,43.27,81,0,3.44,clear sky
103,Novosibirsk,RU,55.0411,82.9344,49.3,60,0,6.71,clear sky
104,Provideniya,RU,64.3833,-173.3,50.34,55,36,6.42,scattered clouds
105,Lae,PG,-6.7221,146.9847,85.84,62,12,7.31,few clouds
106,Pevek,RU,69.7008,170.3133,31.35,96,100,8.25,light snow
107,Kupang,ID,-10.1667,123.5833,85.39,63,73,1.7,broken clouds
108,Mount Gambier,AU,-37.8333,140.7667,48.38,86,100,10.18,light rain
109,Vaini,TO,-21.2,-175.2,80.76,74,40,8.05,scattered clouds
110,East London,ZA,-33.0153,27.9116,63.66,73,100,14.41,overcast clouds
111,Puerto Ayora,EC,-0.7393,-90.3518,72.55,92,57,8.01,broken clouds
112,Atuona,PF,-9.8,-139.0333,78.49,74,38,12.37,scattered clouds
113,Sao Filipe,CV,14.8961,-24.4956,73.83,77,6,7.29,clear sky
114,Abha,SA,18.2164,42.5053,64.35,25,13,6.87,few clouds
