City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
262,Haapiti,PF,82.13,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
263,Fortaleza,BR,77.13,clear sky,-3.7227,-38.5247,Hotel Sonata de Iracema
264,Tortoli,IT,78.51,clear sky,39.9256,9.6572,Hotel La Bitta
266,Xuchang,CN,88.38,broken clouds,34.0167,113.8167,Super 8 Hotel
267,Buraydah,SA,85.24,clear sky,26.326,43.975,Mövenpick Qassim
272,Mount Pleasant,US,75.0,clear sky,32.7941,-79.8626,Best Western Patriots Point
277,Mangrol,IN,81.73,broken clouds,21.1167,70.1167,Hotel The Royal Honours
284,Manjeshwar,IN,79.75,overcast clouds,12.7194,74.8861,Mangalore Beach House - EWA Ikigai
285,Ugoofaaru,MV,82.78,scattered clouds,5.6667,73.0,Ungoofaaru Inn
286,Bahia Honda,CU,77.95,few clouds,22.9036,-83.1592,Casa Gualberto - Deysi
289,Bucerias,MX,79.99,overcast clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
295,Siderno,IT,79.34,clear sky,38.2779,16.302,Grand Hotel President
299,Vanimo,PG,84.54,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
305,Natchitoches,US,76.98,scattered clouds,31.7668,-93.1335,Super 8 by Wyndham Natchitoches
308,Sibolga,ID,80.96,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
309,Kavieng,PG,84.7,broken clouds,-2.5744,150.7967,Nusa Island Retreat
313,Port Hedland,AU,75.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
316,Bengkulu,ID,80.76,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
317,Veraval,IN,81.63,scattered clouds,20.9,70.3667,Lords Inn Somnath
319,Marsh Harbour,BS,79.63,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
320,Fresnillo,MX,76.55,clear sky,23.1667,-102.8833,HOTEL DEL FRESNO
322,San Patricio,US,84.29,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
324,Puerto Cabezas,NI,79.18,overcast clouds,14.0351,-83.3888,Cabaña Caribe
327,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
331,Mana,GF,77.2,overcast clouds,5.6592,-53.7767,LE SAMANA
334,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
335,Beyneu,KZ,77.9,clear sky,45.3167,55.2,NUR
337,Bintulu,MY,83.17,scattered clouds,3.1667,113.0333,900 Boutique INN
339,Keti Bandar,PK,81.68,clear sky,24.1447,67.4497,Haji laloo memon house
341,Gushikawa,JP,83.62,broken clouds,26.3544,127.8686,Kirari Guest House
345,Biak,ID,82.89,light rain,-0.9131,122.8766,Penginapan Kim
347,Puerto Escondido,MX,83.23,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
348,Ca Mau,VN,86.14,broken clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
354,Turayf,SA,78.8,overcast clouds,31.6725,38.6637,Turaif
357,Faanui,PF,80.22,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
358,Fare,PF,80.38,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
362,Sawakin,SD,82.58,clear sky,19.1059,37.3321,فندق الدويم
367,Jacmel,HT,77.36,overcast clouds,18.2342,-72.5347,Historic Hotel Florita
370,Lakatoro,VU,82.67,few clouds,-16.0999,167.4164,Lakatoro Palm Lodge
372,Honiara,SB,85.91,heavy intensity rain,-9.4333,159.95,Heritage Park Hotel
374,Lethem,GY,75.87,overcast clouds,3.3803,-59.7968,Savannah Inn
375,Ranong,TH,83.39,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
381,Gabu,GW,77.22,broken clouds,12.2833,-14.2167,Hotel karsa
382,Kpandae,GH,76.57,broken clouds,8.4689,-0.0113,S. Amaski Guest House
387,Alofi,NU,79.41,few clouds,-19.0595,-169.9187,Taloa Heights
388,Khuzdar,PK,78.8,clear sky,27.7384,66.6434,jhalwan Rent A Car Compny Moola Chotok
390,Estelle,US,87.8,clear sky,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
392,Denpasar,ID,83.86,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
395,Kudahuvadhoo,MV,82.85,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
403,Sur,OM,86.7,clear sky,22.5667,59.5289,Sur Plaza Hotel
405,Coahuayana,MX,76.14,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
411,Yarada,IN,86.32,mist,17.65,83.2667,Yarada Jungle Beach Resorts
412,Lorengau,PG,84.67,clear sky,-2.0226,147.2712,Lorengau Harbourside Hotel
420,Luorong,CN,76.66,moderate rain,24.4058,109.6086,荣立大酒店
421,Bambanglipuro,ID,80.78,overcast clouds,-7.95,110.2833,Puri Brata
424,Hirara,JP,82.47,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
427,Batagay,RU,76.17,broken clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
428,Anqing,CN,76.41,overcast clouds,30.5092,117.0506,Hongtian Hotel
429,College,US,75.99,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
433,Ganzhou,CN,81.0,overcast clouds,28.8184,115.4327,Zhanqian Grand Hotel
436,Namatanai,PG,85.21,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
439,Pandan,PH,86.79,broken clouds,14.0453,124.1694,Bonifacio Lodge
440,Uttarkashi,IN,83.64,clear sky,30.7333,78.45,Anand Ganga
441,Neiafu,TO,83.08,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
442,Mandera,KE,75.52,clear sky,3.9366,41.867,Red Sea Resort & Suites Mandera County
443,San Policarpo,PH,82.13,heavy intensity rain,12.1791,125.5072,Agapita M. Nicart
447,Labuhan,ID,82.53,overcast clouds,-6.8844,112.2051,DoubleFAG
451,Paka,MY,83.08,broken clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
452,Gadwal,IN,87.91,overcast clouds,16.2333,77.8,MS RESIDENCY
453,Abu Kamal,SY,82.71,overcast clouds,34.4506,40.9171,البوكمال
455,Huaiyuan,CN,76.46,overcast clouds,32.973,117.1995,Shell Bengbu Huaiyuan County West Yuwang Road Hotel
459,Yaring,TH,81.36,overcast clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
461,Armeria,MX,75.74,few clouds,18.9333,-103.9667,Hotel la Herradura
463,Mackay,AU,77.68,broken clouds,-21.15,149.2,International Lodge Motel
465,Awjilah,LY,75.99,clear sky,29.1081,21.2869,المنزل
466,Nargana,PA,80.4,broken clouds,9.4428,-78.5906,Dubbir
467,Acajutla,SV,80.13,overcast clouds,13.5928,-89.8275,Laureles
484,Kirakira,SB,84.24,broken clouds,-10.4544,161.9205,SanBiz Lodge
489,Raiganj,IN,83.07,overcast clouds,25.6167,88.1167,Raiganj Tourist Lodge
493,Paredon,MX,81.34,broken clouds,16.0333,-93.8667,Hotel Principal Paredon
512,Nago,JP,84.45,broken clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
513,Les Cayes,HT,78.82,overcast clouds,18.2,-73.75,Villa Orphee
515,Cananea,MX,76.6,clear sky,30.95,-110.3,Casas Montoya
518,Tura,IN,77.61,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
531,Aiken,US,78.12,overcast clouds,33.5835,-81.5998,Aiken Cottages
534,Hobyo,SO,77.22,few clouds,5.3505,48.5268,Iftin hotel hobyo
536,Tual,ID,80.94,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
539,Andros Town,BS,79.18,overcast clouds,24.7,-77.7667,Hanks place
563,Chengde,CN,79.27,clear sky,40.9725,117.9361,Super 8 Hotel
565,Koungou,YT,78.51,clear sky,-12.7336,45.2042,Villa Netibor
575,Maumere,ID,84.25,scattered clouds,-8.6199,122.2111,Sylvia Hotel
576,Rock Sound,BS,78.04,overcast clouds,24.9,-76.2,Pink Corral Bay Property
578,Kismayo,SO,77.2,scattered clouds,-0.3582,42.5454,Agan-Hotel
580,Katherine,AU,88.12,few clouds,-14.4667,132.2667,Pine Tree Motel
581,Sabha,LY,77.76,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
