City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
93,Uribia,CO,11.7139,-72.266,82.56,71,42,7.99
94,Hohhot,CN,40.8106,111.6522,79.09,21,0,15.66
95,Faanui,PF,-16.4833,-151.75,81.1,68,94,18.68
96,Kaitangata,NZ,-46.2817,169.8464,47.12,75,56,3.91
97,Mount Gambier,AU,-37.8333,140.7667,53.08,85,58,11.41
98,Marienburg,PL,54.0359,19.0266,52.84,84,53,3.62
99,Iqaluit,CA,63.7506,-68.5145,38.93,70,20,3.44
100,Vardo,NO,70.3705,31.1107,42.78,93,100,10.36
101,Lebu,CL,-37.6167,-73.65,52.9,98,100,10.67
102,Tasiilaq,GL,65.6145,-37.6368,26.76,70,27,6.76
103,Goderich,CA,43.7501,-81.7165,52.92,61,0,9.22
104,Kodiak,US,57.79,-152.4072,71.11,24,0,5.75
105,Kunming,CN,25.0389,102.7183,71.53,60,75,8.95
106,Haines Junction,CA,60.7522,-137.5108,73.35,21,77,2.3
107,Albany,US,42.6001,-73.9662,59.31,78,8,5.01
108,Sibolga,ID,1.7427,98.7792,86.83,55,52,4.81
109,Ancud,CL,-41.8697,-73.8203,49.1,91,99,11.36
110,Brae,GB,60.3964,-1.353,49.42,87,95,9.13
111,Goundam,ML,16.4145,-3.6708,91.65,24,89,7.11
112,Banda Aceh,ID,5.5577,95.3222,85.24,63,100,2.37
113,Luganville,VU,-15.5333,167.1667,81.5,74,53,8.72
114,Shu,KZ,43.5983,73.7614,73.02,50,43,4.32
115,Buala,SB,-8.145,159.5921,84.38,70,95,8.19
116,Kaeo,NZ,-35.1,173.7833,62.33,78,41,1.36
117,Jamestown,US,42.097,-79.2353,61.72,64,0,9.22
118,Provideniya,RU,64.3833,-173.3,51.98,56,100,5.88
119,Ginir,ET,7.1333,40.7,61.18,71,75,7.92
120,Guymon,US,36.6828,-101.4816,66.2,72,100,9.22
121,Muroto,JP,33.2833,134.15,72.52,61,71,12.86
122,Carnarvon,AU,-24.8667,113.6333,73.92,33,21,10.13
123,Shache,CN,38.4167,77.2406,83.34,16,16,10.42
124,Calabozo,VE,8.9242,-67.4293,73.45,93,60,3.91
125,Hovd,MN,48.0056,91.6419,68.11,8,42,1.66
126,Ballina,AU,-28.8667,153.5667,69.01,64,0,9.64
127,Joshimath,IN,30.5667,79.5667,78.42,20,1,6.58
128,Omboue,GA,-1.5746,9.2618,72.81,97,100,3.27
129,Kyabe,TD,9.4515,18.9449,73.54,81,100,2.89
130,Kargasok,RU,59.0556,80.8572,41.2,57,100,14.45
131,Lashio,MM,22.9333,97.75,76.32,86,93,2.53
132,Ixtapa,MX,20.7,-105.2,76.23,73,75,3.44
133,Okmulgee,US,35.6234,-95.9605,67.08,100,0,0.0
